Price,Close,High,Low,Open,Volume
Ticker,CTAS,CTAS,CTAS,CTAS,CTAS
Datetime,,,,,
2023-06-01 13:30:00+00:00,470.3299865722656,474.739990234375,470.32000732421875,473.510009765625,77099
2023-06-01 14:30:00+00:00,470.95001220703125,471.25750732421875,469.54998779296875,470.1700134277344,23199
2023-06-01 15:30:00+00:00,473.8949890136719,474.6099853515625,470.68499755859375,471.1000061035156,29388
2023-06-01 16:30:00+00:00,475.2449951171875,475.739990234375,473.7049865722656,474.1400146484375,19070
2023-06-01 17:30:00+00:00,476.5249938964844,476.8999938964844,475.1000061035156,475.385009765625,25244
2023-06-01 18:30:00+00:00,477.3450012207031,477.6700134277344,476.2049865722656,476.68499755859375,37037
2023-06-01 19:30:00+00:00,475.9200134277344,477.29998779296875,475.0,477.2749938964844,98158
2023-06-02 13:30:00+00:00,475.0799865722656,478.9200134277344,474.25,476.8299865722656,74246
2023-06-02 14:30:00+00:00,476.3900146484375,477.9800109863281,474.4949951171875,474.4949951171875,91055
2023-06-02 15:30:00+00:00,476.7550048828125,477.4100036621094,476.1499938964844,476.19000244140625,28533
2023-06-02 16:30:00+00:00,477.54998779296875,478.8299865722656,476.6000061035156,476.6000061035156,35615
2023-06-02 17:30:00+00:00,478.70001220703125,479.4700012207031,477.19000244140625,477.5299987792969,21693
2023-06-02 18:30:00+00:00,481.385009765625,481.55999755859375,479.07501220703125,479.07501220703125,30907
2023-06-02 19:30:00+00:00,481.55999755859375,482.05999755859375,480.69000244140625,481.4700012207031,69156
2023-06-05 13:30:00+00:00,482.32000732421875,484.5242919921875,481.9100036621094,482.760009765625,30084
2023-06-05 14:30:00+00:00,482.8800048828125,483.4700012207031,481.1600036621094,481.9200134277344,20184
2023-06-05 15:30:00+00:00,483.6600036621094,483.79998779296875,482.75,483.79998779296875,18646
2023-06-05 16:30:00+00:00,484.1099853515625,485.2200012207031,483.8299865722656,483.8299865722656,11855
2023-06-05 17:30:00+00:00,483.6400146484375,484.3999938964844,483.20001220703125,483.7799987792969,17824
2023-06-05 18:30:00+00:00,484.29998779296875,484.55999755859375,482.55999755859375,483.5,35571
2023-06-05 19:30:00+00:00,484.2900085449219,485.6300048828125,484.1000061035156,484.17999267578125,66204
2023-06-06 13:30:00+00:00,484.7149963378906,485.760009765625,482.2250061035156,483.82000732421875,73806
2023-06-06 14:30:00+00:00,483.8999938964844,485.7300109863281,483.2749938964844,484.9599914550781,21517
2023-06-06 15:30:00+00:00,481.9599914550781,484.44000244140625,481.9599914550781,483.92999267578125,18767
2023-06-06 16:30:00+00:00,480.54998779296875,482.17620849609375,480.54998779296875,481.6099853515625,19656
2023-06-06 17:30:00+00:00,483.239990234375,483.4599914550781,480.57501220703125,480.6000061035156,25600
2023-06-06 18:30:00+00:00,484.55999755859375,484.83441162109375,483.0899963378906,483.32000732421875,36185
2023-06-06 19:30:00+00:00,484.6000061035156,486.2950134277344,484.55999755859375,484.760009765625,70193
2023-06-07 13:30:00+00:00,484.20001220703125,486.1199951171875,483.0799865722656,484.8699951171875,42419
2023-06-07 14:30:00+00:00,482.57000732421875,484.0794982910156,482.0400085449219,483.739990234375,17361
2023-06-07 15:30:00+00:00,480.07501220703125,482.75,480.0400085449219,482.3699951171875,15684
2023-06-07 16:30:00+00:00,479.79998779296875,480.80999755859375,479.2200012207031,480.1000061035156,20342
2023-06-07 17:30:00+00:00,478.510009765625,480.1400146484375,478.510009765625,479.94500732421875,29315
2023-06-07 18:30:00+00:00,477.0249938964844,478.760009765625,476.84521484375,478.42999267578125,54911
2023-06-07 19:30:00+00:00,477.260009765625,478.010009765625,475.70001220703125,476.8699951171875,98936
2023-06-08 13:30:00+00:00,481.0,481.8550109863281,475.0,475.4700012207031,35996
2023-06-08 14:30:00+00:00,481.375,482.4700012207031,480.5199890136719,481.29998779296875,26542
2023-06-08 15:30:00+00:00,483.1700134277344,483.1700134277344,480.57000732421875,481.0400085449219,15052
2023-06-08 16:30:00+00:00,481.6700134277344,483.31500244140625,481.239990234375,483.1449890136719,20231
2023-06-08 17:30:00+00:00,482.1499938964844,482.5400085449219,480.9700012207031,481.7250061035156,19396
2023-06-08 18:30:00+00:00,483.1449890136719,483.2900085449219,482.1499938964844,482.17999267578125,29069
2023-06-08 19:30:00+00:00,483.1099853515625,483.739990234375,482.57000732421875,483.2300109863281,67127
2023-06-09 13:30:00+00:00,481.07000732421875,482.70001220703125,480.0,481.1400146484375,30741
2023-06-09 14:30:00+00:00,478.2900085449219,481.1099853515625,478.2900085449219,480.9100036621094,33527
2023-06-09 15:30:00+00:00,478.95001220703125,479.0,477.5400085449219,477.92999267578125,16911
2023-06-09 16:30:00+00:00,479.44500732421875,479.80999755859375,478.5199890136719,478.70001220703125,29589
2023-06-09 17:30:00+00:00,480.6499938964844,481.3299865722656,479.9200134277344,479.9200134277344,20049
2023-06-09 18:30:00+00:00,480.95001220703125,481.1600036621094,479.95001220703125,480.54998779296875,22174
2023-06-09 19:30:00+00:00,480.42999267578125,481.1199951171875,479.8699951171875,480.8399963378906,77961
2023-06-12 13:30:00+00:00,480.4049987792969,481.75,479.55499267578125,480.42999267578125,40314
2023-06-12 14:30:00+00:00,482.95001220703125,482.95001220703125,480.07000732421875,480.07000732421875,16645
2023-06-12 15:30:00+00:00,482.7799987792969,484.5299987792969,482.5799865722656,482.82000732421875,39320
2023-06-12 16:30:00+00:00,483.19000244140625,484.2300109863281,483.19000244140625,483.2099914550781,14237
2023-06-12 17:30:00+00:00,482.7699890136719,484.4462890625,482.7699890136719,483.2900085449219,16712
2023-06-12 18:30:00+00:00,484.6449890136719,485.42999267578125,482.7099914550781,482.81500244140625,32529
2023-06-12 19:30:00+00:00,484.69000244140625,485.4800109863281,483.7699890136719,484.5400085449219,68134
2023-06-13 13:30:00+00:00,483.04998779296875,485.7099914550781,481.5299987792969,485.5899963378906,34093
2023-06-13 14:30:00+00:00,484.1499938964844,484.6099853515625,482.8399963378906,482.8399963378906,21030
2023-06-13 15:30:00+00:00,484.0199890136719,484.1600036621094,482.2650146484375,484.1600036621094,21433
2023-06-13 16:30:00+00:00,484.7200012207031,484.8599853515625,484.05999755859375,484.3349914550781,19117
